name,auto_budget,currency,auto_budget_amount,auto_budget_period,attachments
48iH-)&775T222,Set a fixed amount every period,1,16419,Monthly,Attachments File/Report_1MB.csv
03zU-)&27uK222,Add an amount every period and correct for overspending,8,8785,Weekly,Attachments File/Report_1MB.csv
73nS-)&0s6F222,Set a fixed amount every period,8,37005,Yearly,Attachments File/Report_1MB.csv
40vL-)&561X222,Set a fixed amount every period,1,,Daily,Attachments File/Report_1MB.csv
41eI-)&0inB222,No auto-budget,1,44064,Weekly,Attachments File/Report_1MB.csv
82nD-)&5r1M222,Add an amount every period,8,78428,Weekly,Attachments File/Report_1MB.csv
68nG-)&8oqT222,No auto-budget,1,22495,Daily,Attachments File/Report_1MB.csv
31xG-)&9kqM222,Add an amount every period and correct for overspending,1,10785,,Attachments File/Report_1MB.csv
34nE-)&1blL222,Add an amount every period,1,21431,Daily,Attachments File/Report_65MB.csv
11qZ-)&2epZ222,Add an amount every period and correct for overspending,8,69325,Daily,Attachments File/Report_1MB.csv
07wN-)&0zyD222,Add an amount every period,8,14841,Monthly,Attachments File/Report_1MB.csv
80sN-)&33vL222,Add an amount every period,1,88430,,Attachments File/Report_65MB.csv
54tJ-)&2xuA222,No auto-budget,1,564,Daily,Attachments File/Report_1MB.csv
72vH-)&9y8I222,Add an amount every period,1,23835,Monthly,Attachments File/Report_1MB.csv
40uZ-)&0k8T222,No auto-budget,8,,Daily,Attachments File/Report_1MB.csv
05fB-)&48rL222,Add an amount every period,1,48539,Weekly,Attachments File/Report_1MB.csv
40yX-)&184T222,Add an amount every period,8,10026,Weekly,Attachments File/Report_1MB.csv
17rF-)&06aJ222,Add an amount every period,1,28842,Yearly,Attachments File/Report_1MB.csv
33bQ-)&2doP222,Add an amount every period and correct for overspending,8,28189,Monthly,Attachments File/Report_1MB.csv
74vS-)&9drL222,No auto-budget,8,38276,Monthly,Attachments File/Report_1MB.csv
88nV-)&726W222,Set a fixed amount every period,8,88189,Yearly,Attachments File/Report_1MB.csv
50iY-)&583D222,No auto-budget,8,48571,Yearly,Attachments File/Report_65MB.csv
60xJ-)&0ueE222,Set a fixed amount every period,1,12124,,Attachments File/Report_1MB.csv
30eC-)&8loA222,No auto-budget,8,81105,Monthly,Attachments File/Report_1MB.csv
48hJ-)&9o8J222,Add an amount every period and correct for overspending,8,26755,Monthly,Attachments File/Report_1MB.csv
22jU-)&8y9X222,Add an amount every period and correct for overspending,8,2700,Daily,Attachments File/Report_65MB.csv
66xK-)&6lsO222,Add an amount every period and correct for overspending,8,40010,Weekly,Attachments File/Report_1MB.csv
,Set a fixed amount every period,8,43694,Monthly,Attachments File/Report_1MB.csv
71wJ-)&5qvE222,Add an amount every period and correct for overspending,1,,Daily,
56cD-)&8ztM222,Add an amount every period and correct for overspending,8,87440,Monthly,Attachments File/Report_1MB.csv
10rP-)&85dN222,Add an amount every period,1,7917,Daily,Attachments File/Report_1MB.csv
00wJ-)&8i4D222,Set a fixed amount every period,8,81884,Monthly,Attachments File/Report_1MB.csv
99pM-)&355F222,No auto-budget,1,46929,Yearly,Attachments File/Report_65MB.csv
77iD-)&1kjM222,Add an amount every period and correct for overspending,1,2067,Yearly,Attachments File/Report_1MB.csv
,Add an amount every period and correct for overspending,1,38389,Yearly,Attachments File/Report_1MB.csv
11sF-)&9kdN222,Add an amount every period and correct for overspending,1,20397,Yearly,Attachments File/Report_1MB.csv
33tW-)&5yhZ222,No auto-budget,8,84791,Yearly,Attachments File/Report_1MB.csv
64yI-)&5g2T222,Add an amount every period and correct for overspending,8,82166,Weekly,
66hG-)&5g6C222,No auto-budget,8,73400,Weekly,Attachments File/Report_65MB.csv
58dC-)&7kwR222,Add an amount every period,8,11222,Monthly,Attachments File/Report_1MB.csv
76yR-)&6i1X222,Set a fixed amount every period,8,84538,Monthly,Attachments File/Report_1MB.csv
,Add an amount every period,8,14942,Daily,Attachments File/Report_1MB.csv
71dE-)&7zqG222,Set a fixed amount every period,1,21835,Weekly,Attachments File/Report_1MB.csv
55aM-)&4brD222,Add an amount every period and correct for overspending,1,16167,Yearly,Attachments File/Report_1MB.csv
50gR-)&7ndM222,Add an amount every period and correct for overspending,8,23111,Daily,Attachments File/Report_1MB.csv
97cF-)&9fvL222,Add an amount every period and correct for overspending,8,12557,Yearly,Attachments File/Report_1MB.csv
67qB-)&3ejZ222,Set a fixed amount every period,8,61171,Daily,Attachments File/Report_1MB.csv
43wT-)&5xbU222,Add an amount every period and correct for overspending,8,11921,,Attachments File/Report_1MB.csv
04gO-)&5z6Z222,Add an amount every period and correct for overspending,8,81877,Monthly,Attachments File/Report_1MB.csv
31hF-)&64wA222,No auto-budget,1,84028,Weekly,Attachments File/Report_1MB.csv
11yG-)&91fB222,Set a fixed amount every period,8,32495,Monthly,Attachments File/Report_1MB.csv
43vB-)&9oaM222,No auto-budget,8,49728,Weekly,
49eV-)&3jnX222,Add an amount every period and correct for overspending,1,96942,Yearly,Attachments File/Report_1MB.csv
91cL-)&2emT222,Add an amount every period,1,73704,Weekly,
42qG-)&0ldB222,Add an amount every period,1,29505,Daily,Attachments File/Report_1MB.csv
49kE-)&9ihA222,Add an amount every period and correct for overspending,1,61635,Daily,Attachments File/Report_1MB.csv
72rO-)&4lgT222,Set a fixed amount every period,8,76082,,Attachments File/Report_1MB.csv
43mF-)&2otI222,Set a fixed amount every period,8,57421,Yearly,
86hV-)&92eP222,Set a fixed amount every period,8,64046,Monthly,Attachments File/Report_1MB.csv
79tZ-)&5xgK222,Add an amount every period,1,26083,Daily,Attachments File/Report_1MB.csv
45eJ-)&9kwE222,Set a fixed amount every period,1,34820,Yearly,Attachments File/Report_1MB.csv
04iK-)&8h8S222,Set a fixed amount every period,1,79581,Weekly,Attachments File/Report_1MB.csv
60uN-)&85bG222,Add an amount every period and correct for overspending,1,25112,Daily,Attachments File/Report_1MB.csv
39oA-)&4toS222,No auto-budget,1,90541,Monthly,Attachments File/Report_1MB.csv
79xO-)&4ugZ222,Set a fixed amount every period,8,,Yearly,Attachments File/Report_1MB.csv
32dJ-)&75hS222,Add an amount every period,8,83664,,Attachments File/Report_1MB.csv
07gS-)&4seO222,Add an amount every period,1,41545,Weekly,Attachments File/Report_1MB.csv
38uA-)&3a3Q222,Add an amount every period and correct for overspending,1,47073,Daily,Attachments File/Report_65MB.csv
56aY-)&1ymF222,Add an amount every period and correct for overspending,8,80458,Weekly,
09dD-)&8i3X222,Set a fixed amount every period,1,55265,Yearly,Attachments File/Report_1MB.csv
76tL-)&0krE222,Add an amount every period and correct for overspending,8,,Monthly,
87qC-)&24dS222,No auto-budget,8,72694,Weekly,Attachments File/Report_1MB.csv
78cU-)&7zdD222,Add an amount every period,8,90510,Monthly,Attachments File/Report_65MB.csv
22rL-)&2geA222,No auto-budget,8,36502,Monthly,Attachments File/Report_1MB.csv
83cY-)&52cL222,Add an amount every period,1,10178,Daily,Attachments File/Report_1MB.csv
59qK-)&93mA222,No auto-budget,8,75443,Monthly,Attachments File/Report_1MB.csv
42lQ-)&8jqG222,Add an amount every period,8,60297,Yearly,Attachments File/Report_1MB.csv
72mW-)&6m3L222,Set a fixed amount every period,8,17957,Daily,
01pW-)&8l0V222,Add an amount every period and correct for overspending,8,26448,Daily,Attachments File/Report_65MB.csv
,No auto-budget,8,44077,Daily,Attachments File/Report_1MB.csv
00gJ-)&8swB222,No auto-budget,8,8788,Yearly,Attachments File/Report_65MB.csv
67eL-)&04hO222,No auto-budget,1,17690,Daily,Attachments File/Report_1MB.csv
15aR-)&09jC222,Add an amount every period,8,91015,Weekly,Attachments File/Report_1MB.csv
86dT-)&7slV222,Add an amount every period,1,64337,Yearly,
86yH-)&7msW222,Add an amount every period,1,31371,Yearly,Attachments File/Report_65MB.csv
15sT-)&77iT222,Add an amount every period and correct for overspending,8,60049,Weekly,Attachments File/Report_1MB.csv
87mY-)&63gL222,Add an amount every period,1,69047,Monthly,Attachments File/Report_1MB.csv
16uY-)&1bzC222,Add an amount every period,8,22818,Weekly,Attachments File/Report_65MB.csv
95wS-)&06bJ222,Add an amount every period,8,40095,Weekly,Attachments File/Report_1MB.csv
49zH-)&3s9O222,Add an amount every period and correct for overspending,1,31366,,Attachments File/Report_1MB.csv
16mG-)&13lX222,Add an amount every period,8,31637,Weekly,Attachments File/Report_1MB.csv
38bQ-)&73wH222,No auto-budget,8,52403,Monthly,Attachments File/Report_1MB.csv
99wY-)&9qfU222,No auto-budget,8,45724,Daily,
98aM-)&7kdZ222,No auto-budget,1,49643,Monthly,Attachments File/Report_65MB.csv
03vS-)&3gnE222,No auto-budget,1,84247,Daily,Attachments File/Report_1MB.csv
79dD-)&5tfM222,Add an amount every period,8,7505,Weekly,Attachments File/Report_1MB.csv
63pD-)&4ajD222,Set a fixed amount every period,8,40117,Yearly,Attachments File/Report_1MB.csv
59zK-)&8olG222,Set a fixed amount every period,8,96255,Daily,Attachments File/Report_1MB.csv
53iS-)&8jzL222,Add an amount every period,1,34734,Daily,
49rD-)&9y9U222,No auto-budget,1,54256,Daily,Attachments File/Report_1MB.csv
32xI-)&2dnA222,Set a fixed amount every period,1,27328,,Attachments File/Report_1MB.csv
24gW-)&7dbA222,Set a fixed amount every period,1,19822,Daily,Attachments File/Report_1MB.csv
88vW-)&2g9J222,Add an amount every period and correct for overspending,1,14428,Daily,
28mE-)&8jdZ222,Add an amount every period and correct for overspending,8,73708,Weekly,Attachments File/Report_1MB.csv
48vY-)&74jP222,Set a fixed amount every period,8,34566,Daily,Attachments File/Report_1MB.csv
15jL-)&2xdC222,Add an amount every period,1,6974,Daily,Attachments File/Report_1MB.csv
25lS-)&8asS222,Add an amount every period,8,43184,Monthly,Attachments File/Report_1MB.csv
29mH-)&0txQ222,Set a fixed amount every period,8,49903,,Attachments File/Report_1MB.csv
,Set a fixed amount every period,1,55109,Weekly,Attachments File/Report_65MB.csv
68pE-)&334K222,Set a fixed amount every period,1,35407,Monthly,Attachments File/Report_65MB.csv
77aA-)&58yV222,No auto-budget,1,92769,Yearly,Attachments File/Report_65MB.csv
08nN-)&3s7A222,Set a fixed amount every period,8,4311,Daily,Attachments File/Report_1MB.csv
,No auto-budget,1,87925,Yearly,Attachments File/Report_1MB.csv
76xT-)&6duL222,Set a fixed amount every period,1,9252,Daily,
33jV-)&6qtB222,No auto-budget,8,12790,Weekly,Attachments File/Report_65MB.csv
31cF-)&8c6Q222,No auto-budget,1,78382,Weekly,Attachments File/Report_1MB.csv
75iD-)&2reX222,Add an amount every period and correct for overspending,1,66968,Daily,Attachments File/Report_1MB.csv
33aW-)&1oxT222,No auto-budget,1,92371,Yearly,Attachments File/Report_1MB.csv
68tW-)&2zfR222,Set a fixed amount every period,1,69471,Yearly,Attachments File/Report_65MB.csv
17nY-)&7xkN222,Add an amount every period,8,13585,Weekly,Attachments File/Report_1MB.csv
54sN-)&5mdM222,Add an amount every period,8,31487,Weekly,Attachments File/Report_1MB.csv
93vH-)&9jeU222,No auto-budget,8,72107,Yearly,Attachments File/Report_65MB.csv
,No auto-budget,8,65572,Monthly,Attachments File/Report_1MB.csv
06aG-)&2kkQ222,No auto-budget,8,25987,Daily,Attachments File/Report_1MB.csv
77uY-)&2owQ222,Add an amount every period and correct for overspending,8,4609,Yearly,Attachments File/Report_1MB.csv
,Add an amount every period and correct for overspending,1,65348,Yearly,Attachments File/Report_1MB.csv
88wP-)&98yD222,Add an amount every period and correct for overspending,8,96879,Monthly,Attachments File/Report_65MB.csv
76zW-)&8ctC222,No auto-budget,1,90532,Daily,Attachments File/Report_1MB.csv
35pD-)&13qL222,No auto-budget,1,59417,Weekly,Attachments File/Report_1MB.csv
67zH-)&90jH222,Set a fixed amount every period,1,11043,Yearly,Attachments File/Report_1MB.csv
99pQ-)&6czD222,Add an amount every period and correct for overspending,8,2509,Yearly,Attachments File/Report_65MB.csv
05qN-)&5unQ222,Set a fixed amount every period,1,91976,Yearly,Attachments File/Report_1MB.csv
,Add an amount every period and correct for overspending,8,28521,Yearly,Attachments File/Report_65MB.csv
46dC-)&62jL222,Add an amount every period,1,9553,Daily,Attachments File/Report_1MB.csv
01eL-)&65sS222,Set a fixed amount every period,8,9946,Yearly,Attachments File/Report_1MB.csv
72wZ-)&55dU222,Set a fixed amount every period,1,57180,Yearly,Attachments File/Report_1MB.csv
54cB-)&2puQ222,Set a fixed amount every period,1,31499,Monthly,Attachments File/Report_65MB.csv
97cR-)&2fgE222,Set a fixed amount every period,1,84514,Yearly,Attachments File/Report_1MB.csv
04zR-)&6jyZ222,Set a fixed amount every period,8,19714,Daily,Attachments File/Report_1MB.csv
06mG-)&4biX222,Set a fixed amount every period,8,57098,Daily,Attachments File/Report_65MB.csv
65yV-)&0jqX222,Add an amount every period,1,18923,Weekly,
39bO-)&5cfX222,Add an amount every period,8,9946,Monthly,Attachments File/Report_1MB.csv
57yP-)&43zH222,Add an amount every period,1,,Weekly,
73xZ-)&8dqC222,Set a fixed amount every period,1,71146,Weekly,Attachments File/Report_1MB.csv
45oG-)&8ocG222,Set a fixed amount every period,1,33217,Monthly,Attachments File/Report_1MB.csv
42lX-)&5stI222,Set a fixed amount every period,8,41518,Daily,Attachments File/Report_1MB.csv
19vI-)&5myN222,Add an amount every period and correct for overspending,1,47415,Weekly,Attachments File/Report_65MB.csv
59fA-)&3huC222,Add an amount every period,1,75037,Yearly,Attachments File/Report_1MB.csv
76gI-)&1d8T222,Set a fixed amount every period,8,50101,Monthly,Attachments File/Report_65MB.csv
44wC-)&46rZ222,Add an amount every period and correct for overspending,1,7175,Monthly,Attachments File/Report_1MB.csv
71bP-)&6wcY222,Set a fixed amount every period,1,83993,Daily,Attachments File/Report_1MB.csv
,Set a fixed amount every period,1,,Yearly,Attachments File/Report_1MB.csv
74sK-)&9v8F222,Add an amount every period,1,13257,Weekly,Attachments File/Report_1MB.csv
58uT-)&1b6R222,Set a fixed amount every period,1,23062,Yearly,Attachments File/Report_65MB.csv
77tC-)&7mqH222,Add an amount every period,1,47981,Weekly,Attachments File/Report_1MB.csv
11sZ-)&198N222,Add an amount every period,1,55600,Daily,Attachments File/Report_1MB.csv
71sI-)&5biB222,No auto-budget,1,86259,,
84eM-)&0qaB222,Add an amount every period,1,17158,Yearly,Attachments File/Report_1MB.csv
50eT-)&0ycT222,Add an amount every period,1,3510,Weekly,Attachments File/Report_1MB.csv
29xJ-)&9rdG222,Add an amount every period and correct for overspending,8,97492,Monthly,Attachments File/Report_65MB.csv
12uC-)&6i5D222,Add an amount every period and correct for overspending,8,19482,Yearly,Attachments File/Report_1MB.csv
88kS-)&53lE222,No auto-budget,8,18687,Daily,Attachments File/Report_1MB.csv
15wK-)&42sK222,Set a fixed amount every period,1,79598,Daily,Attachments File/Report_1MB.csv
27vG-)&7xpK222,Add an amount every period,1,21507,Weekly,Attachments File/Report_1MB.csv
32aT-)&7edI222,Add an amount every period and correct for overspending,1,39459,Weekly,Attachments File/Report_1MB.csv
78fV-)&3vvG222,Add an amount every period and correct for overspending,1,83709,Weekly,Attachments File/Report_1MB.csv
24fC-)&7gxU222,No auto-budget,1,13190,Weekly,Attachments File/Report_65MB.csv
40rO-)&965Z222,Add an amount every period and correct for overspending,8,39358,Yearly,Attachments File/Report_1MB.csv
03kR-)&81mI222,Add an amount every period and correct for overspending,8,50309,Weekly,Attachments File/Report_1MB.csv
,Set a fixed amount every period,8,33102,Yearly,Attachments File/Report_1MB.csv
,No auto-budget,1,1741,Weekly,Attachments File/Report_1MB.csv
30nU-)&5quS222,Set a fixed amount every period,1,11772,Weekly,Attachments File/Report_1MB.csv
37vY-)&5szZ222,Add an amount every period and correct for overspending,1,12219,Weekly,Attachments File/Report_1MB.csv
98xQ-)&5mtU222,Add an amount every period and correct for overspending,8,43544,Weekly,Attachments File/Report_65MB.csv
32lM-)&6bcL222,Add an amount every period and correct for overspending,1,57675,Weekly,Attachments File/Report_1MB.csv
47oJ-)&940L222,Add an amount every period and correct for overspending,1,48825,Monthly,Attachments File/Report_1MB.csv
13rY-)&5chM222,Set a fixed amount every period,1,88192,Yearly,Attachments File/Report_65MB.csv
59wH-)&88xP222,No auto-budget,1,74846,Monthly,Attachments File/Report_1MB.csv
79rF-)&8y2G222,Add an amount every period and correct for overspending,1,50375,Yearly,Attachments File/Report_65MB.csv
68qP-)&7bsW222,Add an amount every period and correct for overspending,1,96194,Monthly,Attachments File/Report_1MB.csv
60hR-)&9prG222,Add an amount every period,1,90006,Yearly,Attachments File/Report_1MB.csv
42fR-)&8sfM222,Add an amount every period,1,88445,,Attachments File/Report_1MB.csv
03nH-)&81cJ222,Add an amount every period and correct for overspending,1,25721,Daily,Attachments File/Report_1MB.csv
97vT-)&312L222,Add an amount every period,8,89523,Daily,Attachments File/Report_1MB.csv
61tJ-)&17tY222,Set a fixed amount every period,8,68530,Yearly,Attachments File/Report_1MB.csv
63jW-)&2w8I222,Add an amount every period,1,21105,Weekly,Attachments File/Report_1MB.csv
02uF-)&32zR222,Add an amount every period and correct for overspending,1,19694,Weekly,Attachments File/Report_1MB.csv
77xH-)&8bkG222,Set a fixed amount every period,1,22973,Weekly,Attachments File/Report_1MB.csv
82lQ-)&8z5Z222,No auto-budget,8,66884,Weekly,Attachments File/Report_1MB.csv
11aZ-)&229L222,Add an amount every period and correct for overspending,1,73649,Daily,Attachments File/Report_1MB.csv
83gY-)&4ojI222,Set a fixed amount every period,8,23191,Daily,Attachments File/Report_1MB.csv
86eC-)&7piS222,No auto-budget,8,15085,Weekly,Attachments File/Report_1MB.csv
77lY-)&8fiL222,Add an amount every period,8,84058,Yearly,Attachments File/Report_1MB.csv
87fE-)&9x7Z222,Add an amount every period and correct for overspending,8,,Monthly,Attachments File/Report_1MB.csv
41iN-)&0omH222,Add an amount every period and correct for overspending,8,37413,Weekly,Attachments File/Report_65MB.csv
93zV-)&7gfV222,Add an amount every period and correct for overspending,8,15680,Yearly,Attachments File/Report_1MB.csv
62jN-)&67pQ222,Add an amount every period and correct for overspending,8,31778,Daily,
99nB-)&4vkK222,Add an amount every period and correct for overspending,1,33367,Weekly,Attachments File/Report_1MB.csv
69aC-)&5weO222,Add an amount every period,1,,Yearly,Attachments File/Report_1MB.csv
02jC-)&6geZ222,Add an amount every period and correct for overspending,8,35453,Monthly,Attachments File/Report_1MB.csv
83hT-)&2zmO222,Add an amount every period,1,16213,Weekly,Attachments File/Report_1MB.csv
99kU-)&0v4E222,No auto-budget,1,,Monthly,Attachments File/Report_65MB.csv
36bI-)&1y7A222,Add an amount every period,1,16496,Monthly,Attachments File/Report_1MB.csv
09zL-)&5moG222,Set a fixed amount every period,8,45985,Weekly,Attachments File/Report_1MB.csv
,Set a fixed amount every period,8,1443,Weekly,Attachments File/Report_65MB.csv
22zP-)&7zsB222,No auto-budget,1,92683,Daily,Attachments File/Report_1MB.csv
81hD-)&71iS222,Set a fixed amount every period,1,50371,Daily,Attachments File/Report_1MB.csv
23xF-)&9dxC222,Set a fixed amount every period,8,94397,Monthly,Attachments File/Report_1MB.csv
31rS-)&20nF222,Set a fixed amount every period,8,17006,Yearly,Attachments File/Report_65MB.csv
14lZ-)&6k8F222,Set a fixed amount every period,8,88058,Monthly,Attachments File/Report_65MB.csv
40sT-)&72gR222,Set a fixed amount every period,1,65458,Daily,Attachments File/Report_1MB.csv
77xA-)&3twG222,Add an amount every period,1,43117,Weekly,Attachments File/Report_1MB.csv
11sF-)&57dU222,Set a fixed amount every period,1,21647,Monthly,Attachments File/Report_65MB.csv
48hC-)&87vD222,Set a fixed amount every period,1,19933,Yearly,Attachments File/Report_1MB.csv
61aY-)&193H222,Add an amount every period,8,60882,Daily,Attachments File/Report_1MB.csv
60iH-)&4gnP222,Add an amount every period,8,40182,Yearly,
01iS-)&1oeW222,Add an amount every period,8,21316,Yearly,Attachments File/Report_65MB.csv
19uG-)&113S222,Set a fixed amount every period,1,79549,Monthly,Attachments File/Report_65MB.csv
65xG-)&0m2Q222,Add an amount every period and correct for overspending,1,92253,Monthly,Attachments File/Report_1MB.csv
02rP-)&2r4C222,Set a fixed amount every period,8,15256,Yearly,Attachments File/Report_1MB.csv
21cZ-)&78nK222,Add an amount every period and correct for overspending,8,1128,Yearly,Attachments File/Report_1MB.csv
71oZ-)&99aZ222,Set a fixed amount every period,1,94724,Monthly,Attachments File/Report_65MB.csv
86cN-)&3etY222,Add an amount every period,8,58395,Weekly,
88pJ-)&5t5H222,Add an amount every period and correct for overspending,1,,Monthly,Attachments File/Report_1MB.csv
07oT-)&0ojC222,Set a fixed amount every period,8,17702,Yearly,Attachments File/Report_1MB.csv
50mJ-)&9d3L222,No auto-budget,8,82379,Weekly,Attachments File/Report_1MB.csv
09xD-)&2xgF222,Add an amount every period and correct for overspending,1,,Monthly,Attachments File/Report_1MB.csv
35wV-)&9jqD222,No auto-budget,1,,Yearly,Attachments File/Report_1MB.csv
00aU-)&58bP222,Add an amount every period,1,20900,Daily,Attachments File/Report_65MB.csv
22zG-)&934A222,Add an amount every period,8,75203,Monthly,Attachments File/Report_1MB.csv
04iY-)&000P222,No auto-budget,1,6461,Yearly,Attachments File/Report_1MB.csv
96aD-)&6b5U222,Add an amount every period,8,33616,Daily,
80zV-)&8qzV222,Set a fixed amount every period,1,89749,Monthly,Attachments File/Report_1MB.csv
45tF-)&2zcT222,Add an amount every period,1,26526,Weekly,Attachments File/Report_1MB.csv
70kU-)&1m7Y222,Add an amount every period,1,33807,Daily,Attachments File/Report_1MB.csv
48eY-)&13qL222,Set a fixed amount every period,1,,Monthly,Attachments File/Report_1MB.csv
02uQ-)&3oiI222,Add an amount every period,1,27574,Daily,Attachments File/Report_1MB.csv
70nR-)&7t3J222,No auto-budget,8,84433,Weekly,Attachments File/Report_1MB.csv
87vU-)&13vS222,No auto-budget,8,85751,Yearly,Attachments File/Report_1MB.csv
31lY-)&0pyN222,Add an amount every period,1,33734,Weekly,Attachments File/Report_1MB.csv
70aE-)&2oxN222,No auto-budget,1,12,Monthly,Attachments File/Report_65MB.csv
50bN-)&8pjQ222,Add an amount every period and correct for overspending,8,43375,Yearly,
83cN-)&9ivD222,Add an amount every period,1,12997,Yearly,Attachments File/Report_1MB.csv
11bR-)&6jwF222,Set a fixed amount every period,1,743,Monthly,Attachments File/Report_1MB.csv
62zC-)&5qjZ222,Add an amount every period and correct for overspending,1,28969,Monthly,Attachments File/Report_65MB.csv
49jY-)&09wC222,Add an amount every period,1,91419,Weekly,Attachments File/Report_1MB.csv
77nE-)&6uvP222,Add an amount every period and correct for overspending,8,86017,Monthly,Attachments File/Report_1MB.csv
,Add an amount every period and correct for overspending,1,66394,Weekly,Attachments File/Report_65MB.csv
79hG-)&0qjX222,Set a fixed amount every period,8,30176,Weekly,Attachments File/Report_1MB.csv
64nI-)&0ztS222,Add an amount every period,1,51614,Daily,Attachments File/Report_1MB.csv
83bO-)&53oU222,Add an amount every period and correct for overspending,8,4058,Weekly,Attachments File/Report_1MB.csv
10tJ-)&8emJ222,Add an amount every period and correct for overspending,1,70476,Daily,Attachments File/Report_1MB.csv
57eC-)&7h6M222,Add an amount every period and correct for overspending,8,21668,Monthly,Attachments File/Report_1MB.csv
01oW-)&2wpH222,No auto-budget,1,40582,Yearly,Attachments File/Report_1MB.csv
50mR-)&3ikV222,Add an amount every period and correct for overspending,8,71251,Monthly,Attachments File/Report_1MB.csv
50xL-)&7cgK222,Set a fixed amount every period,1,83063,Daily,Attachments File/Report_65MB.csv
27tX-)&1u0G222,Set a fixed amount every period,8,,Weekly,Attachments File/Report_1MB.csv
87vM-)&22zE222,No auto-budget,8,26345,,Attachments File/Report_65MB.csv
74eA-)&2ubK222,Add an amount every period,8,83834,Daily,Attachments File/Report_1MB.csv
09qB-)&9tvP222,Add an amount every period and correct for overspending,1,25489,,Attachments File/Report_1MB.csv
25iI-)&4luE222,No auto-budget,1,77740,Yearly,
63bS-)&725H222,Add an amount every period and correct for overspending,8,47407,Yearly,
66yM-)&9k1N222,Set a fixed amount every period,8,10934,,Attachments File/Report_1MB.csv
18rY-)&3u9O222,No auto-budget,8,3091,Daily,Attachments File/Report_1MB.csv
52lD-)&43bR222,No auto-budget,8,,,
,Set a fixed amount every period,8,52825,Yearly,Attachments File/Report_1MB.csv
,Add an amount every period,1,47642,Monthly,Attachments File/Report_1MB.csv
77yR-)&1qbG222,Set a fixed amount every period,1,5551,Yearly,Attachments File/Report_1MB.csv
98uJ-)&1qpF222,Add an amount every period,8,78971,Daily,Attachments File/Report_65MB.csv
25rD-)&8pyE222,Set a fixed amount every period,8,93254,Weekly,Attachments File/Report_1MB.csv
39cJ-)&9whX222,No auto-budget,8,17019,Yearly,Attachments File/Report_1MB.csv
40xI-)&4sfO222,Set a fixed amount every period,8,75301,Daily,Attachments File/Report_1MB.csv
35nO-)&1ldU222,Add an amount every period,8,84420,Monthly,Attachments File/Report_1MB.csv
39sI-)&4n0S222,Add an amount every period,1,60244,Daily,Attachments File/Report_1MB.csv
40iG-)&1anE222,Add an amount every period,8,90953,Daily,Attachments File/Report_1MB.csv
83yB-)&06kW222,Add an amount every period and correct for overspending,8,43133,Monthly,Attachments File/Report_1MB.csv
34zU-)&0lxS222,No auto-budget,1,50981,Daily,Attachments File/Report_1MB.csv
00hT-)&3jfX222,Add an amount every period and correct for overspending,1,16542,Monthly,Attachments File/Report_1MB.csv
77dF-)&4yrQ222,Add an amount every period,1,88441,Weekly,Attachments File/Report_1MB.csv
98jG-)&5qlD222,Add an amount every period and correct for overspending,8,30250,Daily,
99iL-)&9sgG222,Add an amount every period and correct for overspending,1,92850,Weekly,
74yS-)&5ewD222,Set a fixed amount every period,1,17874,Yearly,Attachments File/Report_1MB.csv
50rJ-)&0dxF222,Set a fixed amount every period,8,74445,Monthly,Attachments File/Report_65MB.csv
24cD-)&414V222,Add an amount every period,8,56663,Monthly,Attachments File/Report_1MB.csv
81aM-)&1vzA222,No auto-budget,1,1391,Monthly,Attachments File/Report_1MB.csv
55bR-)&6wiY222,Add an amount every period,1,88857,Monthly,Attachments File/Report_1MB.csv
72cN-)&4cxW222,Add an amount every period and correct for overspending,8,83327,Monthly,Attachments File/Report_1MB.csv
92nO-)&5drG222,Add an amount every period,8,5041,,
04uO-)&2a8X222,Add an amount every period,1,85583,Weekly,Attachments File/Report_1MB.csv
45kZ-)&7rvT222,No auto-budget,8,75172,Daily,Attachments File/Report_1MB.csv
98sI-)&33nU222,Add an amount every period and correct for overspending,1,26466,Yearly,Attachments File/Report_1MB.csv
84tE-)&4ubY222,Add an amount every period and correct for overspending,1,4639,Yearly,
39xU-)&69kP222,No auto-budget,1,73568,Weekly,Attachments File/Report_1MB.csv
,Add an amount every period,8,44336,Weekly,
73tY-)&5wuA222,Add an amount every period and correct for overspending,1,26484,Monthly,Attachments File/Report_1MB.csv
93rB-)&8e0F222,No auto-budget,1,83971,,Attachments File/Report_1MB.csv
51iB-)&9odQ222,No auto-budget,1,21257,Monthly,Attachments File/Report_65MB.csv
65oP-)&8d1C222,Add an amount every period and correct for overspending,1,59021,Weekly,Attachments File/Report_1MB.csv
26nN-)&0lyR222,No auto-budget,1,87129,Monthly,Attachments File/Report_1MB.csv
95wR-)&728M222,No auto-budget,1,39274,Yearly,Attachments File/Report_65MB.csv
79hY-)&2a7H222,Set a fixed amount every period,1,69088,Weekly,Attachments File/Report_1MB.csv
31xW-)&36lU222,Set a fixed amount every period,8,18823,Yearly,Attachments File/Report_65MB.csv
59qL-)&347L222,Add an amount every period and correct for overspending,1,,,Attachments File/Report_1MB.csv
76bF-)&9nfD222,Set a fixed amount every period,8,19215,Monthly,Attachments File/Report_1MB.csv
90xG-)&2ooS222,Set a fixed amount every period,1,15248,Yearly,Attachments File/Report_1MB.csv
23bU-)&18yV222,Set a fixed amount every period,8,10589,Yearly,Attachments File/Report_1MB.csv
